Russian Cyrillic: Ь	ь<br>'<br>(Soft sign)
IA͡	Russian Cyrillic: Я<br>я
Я люблю чай	Me gusta el té
Я не люблю какао	No me gusta el cacao
Вы любите вино	Os gusta el vino
Он не любит бордо	A él no le gusta el Burdeos
Она любит кофе, а вы?	A ella le gusta el café, ¿y a vosotros/Ud.?
Что вы любите?	¿Qué le gusta a Ud.?
Я ничего не люблю	No me gusta nada
Он очень любит коньяк	Le gusta mucho ("muy") el coñac
Она не любит хеле	A ella no le gusta la gelatina
Я говорю по-русски	Yo hablo [en] ruso
Вы говорите по-французски	Vosotros habláis [en] francés
Он говорит по-английски	Él habla [en] ruso
Кто говорит по-итальянски?	¿Quién habla [en] italiano?
Никто не говорит по-немецки	Nadie habla [en] alemán
Что вы говорите?	¿Qué dice usted?
Я знаю, что вы любите	Yo sé lo que le gusta a Ud.
Вы ничего не знаете	Ud. no sabe nada
Кто знает, где он?	¿Quién sabe dónde está el?
Извините, вы русский?	Perdone, ¿(es) Ud.ruso?
Нет, я француз	No, yo (soy) francés
Но вы говорите по-русски?	Pero ¿habla Ud. ruso?
Нет, я только начинаю	No, solo comienzo
Урок номер один	Lección número uno
Урок номер два	Lección número dos
Урок номер три	Lección número tres
Что это? Это ...	¿Qué (es) esto? Esto (es) ...
Кто это? Это...	¿Quién (es) este/a? Este/a es...
Квартира номер один	Apartamento número uno
Это кнуга и пиcьмо	Esto es un libro y una carta
Где ручка? Ручка здесь а карандаш там	¿Dónde (está) el bolígrafo? El bolígrafo está aquí y el lápiz allí
Учебник здиесь и тетрадь тоже здиесь	El libro de texto está aquí y el cuaderno también está aquí
Газета здесь а журнал там	El periódico está aquí y/pero la revista está allá
Я, ты, он, она<br>вместе дружная семья	Yo, tú, él, ella<br>juntos (somos una) familia unida
Я очень люблю русский язык	Me gusta mucho la lengua rusa
Вы не знаете, где здесь вольница?	¿Ud. no sabe dónde está (aquí) el hospital?
Я не знаю, но вот мой брат; он знает	Yo no lo sé pero aquí está mi hermano; él sabe
Всё время прямо; больннца не очень далеко	Todo [el tiempo] recto; el hospital no (está) muy lejos
Спасибо; до сбидания	Gracias; hasta la vista
Здравствуй(те)!	¡Hola! ("Ten/ga(n) salud")
Привет!	¡Hola! (informal/familiar)
- Спасибо<br>- Пожалуйста!	- Gracias<br>- ¡De nada!
Давайте познакомимся!<br>Пазнакомьтесь!	¡Conozcámonos!<br>¡Conózcanse! (les presento)
Хорошо	Bien
- Как Вас зобут?<br>- Меня зовут Аня.	- ¿Cuál ("cómo") es su nombre?<br>- Mi nombre es Anya.
ноль	cero
один	uno
два	dos
три	tres
четыре	cuatro
пять	cinco
- Как Ваше отчество?<br>- Моё отчество Александовна.	- ¿Cuál ("cómo") es su patronímico?<br>- Mi patronímico es Alexandrovna.
- Как Ваша фамилия?<br>- Моя фамилия Ткаченко.	- ¿Cuál ("cómo") es su apellido?<br>- Mi apellido es Tkachenko.
- Где Вы родились?<br>- Я родилась в донецке.	- ¿Dónde nació Ud.?<br>- Yo nací en Donetsk.
- Вы работаете или учитесь?<br>- Я работаю в банке	- ¿Ud. trabaja o estudia?<br>- Yo trabajo en el banco.
- Сколько Вам лет?<br>- Мне 23 года.	- ¿Cuántos años tiene Ud.?<br>- Yo tengo 23 años.
шесть	seis
семь	siete
восемь	ocho
девять	nueve
десять	diez
сто	cien
- Когда у Вас день рождения?<br>- Мой день рождения 21 июня.	- ¿Cuándo es su cumpleaños?<br>- Mi cumpleaños es el 21 de junio.
- Какой у вас телефон?<br>- У меня телефон 0501234567	- ¿Cuál es su teléfono?<br>- Mi teléfono es 0501234567
- Вы замужем или свободны?<br>- Я замужем.	- ¿Es Ud. casada o soltera?<br>- Soy casada.
- Вы живёте в доме или в квартире?<br>- Я живу в квартире.	- ¿Vive Ud. en un casa o en un apartamento?<br>- Yo vivo en un apartamento.
- Какие языки Вы знаете?<br>- Я знаю ачглийский, русский и украинский языки.	- ¿Qué lenguas sabe Ud.?<br>_ Yo sé inglés, ruso y ucraniano.
- У Вас есть друг? Как его зовут?<br>- Его зовут Евгений Николаевнч Непейпиво.	- ¿Tiene Ud. un amigo? ¿Cuál ("cómo") es su nombre?<br>- Su nombre es Yevgeny Nikolaevich Nepeypivo
- Кто он по национальности?<br>- Он украинец.	- ¿Cuál es su nacionalidad?<br>- Él es ucraniano.
- Где он родился?<br>- Он родился и живёт в Донецке.	- ¿Dónde nació?<br>- Él nació y vive en Donetsk.
- Какой у Евгения адрес?<br>- Его адрес - ул. Артёма, дом 277, квартира 27.	- ¿Cuál es su dirección (de él)?<br>- Su dirección es calle Artyom, número ("casa") 277, apartamento 27. 
- Сколько ему лет?<br>- Ему двадцать пять лет.	- ¿Cuántos años tiene?<br>- Tiene 25 años.
- Где он работает?<br>- Он работает в торговой фирме.	- ¿Dónde trabaja él?<br>- Él trabaja en una empresa de menoreo.
- Кем он работает в этой фирме?<br>- Он администратор компьютерной сети.	- ¿En qué trabaja en esa compañía?<br>- Él es administrador de redes de computadoras.
- Ваш друг живёт в квартире или в собственном доме?<br>- Он живёт в собственном доме.	- ¿Su amigo vive en un apartamento o en casa propia?<br>- Él vive en su propia casa.
- Какой у него номер телефона?<br>- У него номер телефона 1234567890.	- ¿Cuál es su número de de teléfono?<br>- Su número de teléfono es el 1234567890.
- На каких языках он говорит?<br>- Он говорит на русском, украинском и немецком языках.	- ¿Qué idiomas habla?<br>- Él habla ruso, ucraniano y alemán.
одиннадцать	once
двенадцать	doce
тринадцать	trece
четырнадцать	catorce
пятнадцать	quince
шестнадцать	dieciséis
семнадцать	diecisiete
восемнадцать	dieciocho
девятнадцать	diecinueve
тысяча	mil
миллион<br>миллиард	millón<br>mil millones
двадцать, двести	veinte, doscientos
тридцатъ, триста	treinta, trescientos
сорок, четыреста	cuarenta, cuatrocientos
пятьдесят, пятьсот	cincuenta, quinientos
шестъдесят, шестьсот	sesenta, seiscientos
семьдесят, семьсот	setenta, setecientos
восемьдесят, восемьсот	ochenta, ochocientos
девяносто, девятьсот	noventa, novecientos
Очень приятно	Mucho gusto
- Как дела?<br>- Плохо!	- ¿Cómo va eso?<br>- ¡Mal!
До свидания	Hasta la vista
Урок Н(омер) один	Lección número 1
Иван иванович и Анна Петровна муж и жена	Iván Ivánovich y Anna Petrovna son marido y mujer
Анна Петровна и Иван Иванович мать и отец, мама и папа. Они родители	Anna Petrovna e Iván Ivánovich son la madre y el padre, mamá y papá. Ellos son los padres
Максим и Нина сын и дочь. Они дети	Maxim y Nina son el hijo y la hija. Ellos son los hijos
Это бабушка и дедушка, внук и внучка	Estos son la abuela y el abuelo, el nieto y la nieta
Максим и Нина брат и сестра	Maxim y Nina son hermano y hermana
Это Максим. Нина его сестра, Иван Иванович его папа	Este es Maxim. Nina es su hermana, Iván Ivánovich es su papá
Это Нина. Махим её брат. Анна Петровна и Иван Иванович её родители	Esta es Nina. Maxim es su hermano. Anna Petrova e Iván Ivánovich son sus padres
Это Максим и Нина. Иван Иванович и Анна Петровна их родители	Estos son Maxim y Ana. Iván Ivánovich y Ana Petrovna son sus padres
Eё Дядя и тётя дома. Её кот и собака тоже дома	Su tío y su tía (de ella) están en casa. Su gato y su perro también están en casa
Кто это? Это друг и подруга. Они друзья	¿Quiénes son? So un amigo y una  amiga. Son amigos
- Что он делает?<br>- Он читает.	- ¿Qué hace?<br>- Lee.
- Что они делают?<br>- Они читают.	- ¿Qué hacen?<br>- Leen.
- Что делаешь?<br>- Я гуляю.	- ¿Qué haces?<br>- Paseo.
- Что делаете?<br>- Мы работаем.	- ¿Qué hacéis?<br>- Trabajamos.
делать, читать, работать, жить	hacer, leer, trabajar, vivir (irr.)
- Как по Русский "pasear"?<br>- "Pasear" по Руский "гулять".	- ¿Cómo es "pasear" en ruso?<br>- "Pasear" en ruso es "гулять".
- Что Вы читаете?<br>- Я читаю книгу/газету.	- ¿Qué lee Ud.?<br>- Leo un libro/un periódico.
- Что ты читаешьЬ<br>- Я читаю журнал/письмо.	- ¿Qué lees?<br>- Leo un periódico/una carta.
Это стихи. Она читает стихи.	Estos son poemas. Ella lee poemas.
- Что они делают?<br>- Они слушают музыку.<br>- Да, мы слушаем музыку.	- ¿Qué hacen?<br>- Ellos escuchan música.<br>- Sí, nosotros escuchamos música.
Максим играет в футбол а Нина играет в хоккей	Maxim juega al fútbol y Nina juega al hockey
Иван иванович и его семьа дома. Они отдыхают. Мама и Максим играют в шахматы	Iván Ivanovich y su familia están en casa. Están descansando/relajándose.<br>La mamá y Maxim juegan al ajedrez.
Сейчас мы работаем а они отдыхают	Ahora nosotros trabajamos y ellos descansan
Что делает Максим? Что он делает?	¿Qué hace Maxim? ¿Qué hace él?
Это завод/фабрика.  Они работают	Esto es una planta idustrial/fábrica. Trabajan
Это больница. Bрач работает здесь	Es un hospital. El médico trabaja aquí
Кто Это? Это строитель и фермер. Они работают	¿Quiénes son estos? Son un albañil y un labriego. Ellos trabajan
- Кто он по профессии?<br>- Он учитель и его жена тоже учительница	- ¿Qué es él de profesión?<br>- Él es maestro y su mujer también es maestra
Анна Петровна работает в школе а её муж работает в магазине	Ana Petrovna trabaja en la escuela y su marido trabaja en una tienda
Иван Иванович на работе. Он работает на стройке. Его жена на пенсии	Iván Ivánovich está en el trabajo. Él trabaja en una obra. Su mujer está jubilada ("en pensión")
Иван Иванович и его семьа живут в Москве	Iván Ivánovich y su familia viven en Moscú
- Где Вы живёте?<br>- Мы хивём в Америке / в США	- ¿Dónde viven Uds?<br>- Vivimos en América / en EE.UU.
- Где ты живёшь?<br>- Я живу в штате Техас, в Далласе.	- ¿Dónde vives?<br>- Yo vivo en el estado de Texas, en Dallas.
- Как тебе/вас зовут?<br>- Меня зовут Франсиско.	- ¿Cuál es tu/su nombre?<br>- Mi nombre es Francisco
Познакомьтес: Это Василий Николаевич. Он уже не работает, он на пенсии.<br>Он и Иван Иванович соседи.	Les presento a Vasilii Nikoáievich. Él ya no trabaja, está jubilado. Él e I.I. son vecinos.
А его жена ещё работает в библиотеке	Pero su mujer todavía trabaja en la biblioteca
Это школьники. Они учатся (учиться) в школе	Estos son escolares. Ellos estudian (estudiar) en la escuela
Я учусь в школе "Virgen de las Nieves"	Estudio en la escuela "Virgen de las Nieves"
Где ты учишься?<br>Где Вы учитесь?	¿Dónde estudias?<br>¿Dónde estudia(n) Ud(s).?
Познакомьтесь: это борис. Он стыдент. Он живёт в Москве и учится в университете.	Les presento a Boris. Es estudiante. Vive en Moscú y estudia en la universidad.
Как теба зовут? Где ты живёшь? Где ты учишьса?	¿Cómo te llamas? ¿Dónde vives?
Максим и Нина живут в России.	Maxim y Nina viven en Rusia.
Доброе утро!	¡Buenos días!
Добрый день!	¡Buenas tardes!
Добрый вечер!	¡Buenas noches!
Простите/извините, пожалуйста	Perdone, por favor
Входите, пожалуйста	Entre, por favor
- Когда вы завтракаиете?<br>- Мы завтракаем утром.	- ¿Cuándo desayunáis?<br>- Desayunamos por la mañana.
- Когда вы обедаешь?<br>- Я обедаю днём.	- ¿Cuándo almuerzas?<br>- Almuerzo por la tarde.
- Когда ужинают школьники?<br>- Они ухинают вечером.	- ¿Cuándo cenan los colegiales?<br>- Ellos cenan por la noche.
Я не знаю и ты не знаешь.<br>Я знаю a ты не знаешь.<br>Я не знаю но ты знаешь!	Yo no sé y tú no sabes.<br>Yo sé y tú no sabes.<br>¡Yo no sé pero tú sí sabes!
Я много знаю а ты мало знаешь.<br>Я мало знаю и вы тоже мало знаете.	Yo sé mucho y tú sabes poco.<br>Yo sé poco y Ud. también sabe poco.
Он работает хорошо а она работает ллохо.<br>Он работает хорошо но делает мало.	Él trabaja bien y ella trabaja mal.<br>Él trabaja bien pero hace poco.
Вы понимаете это?<br>Извините, я не понимаю.<br>Я понимаю мало - он понимает хорошо.	¿Comprende usted esto?<br>Perdone, no comprndo.<br>Yo comprendo poco - él comprende bien.
Он много думает но мало знает.<br>Вы мало думаете.<br>Они не думают.	Él piensa mucho pero sabe poco.<br>Uds. piensan poco.<br>Ellos no piensan.<br>
- Вы разговарываете по-русски или нет?<br>- Да, разговарываю, но очень медленно.	- ¿Conversa Ud. en ruso o no?<br>- Sí, converso, pero muy lento.
- Ты понимаешь, как я болтаю?<br>- Я не понимаю, если ты болтаешь так быстро.	- ¿Comprendes la forma en que hablo?<br>- No comprendo si hablas tan rápido.
Он часто завтракает так поздно/рано как мы обедаем.	Él a menudo desayuna tan tarde/temprano como nosotros almorzamos.
Лариса, вы не думаете поужинать?	Larisa, ¿no piensa cenar?
- Вы быстро загораете или медленно?<br>- Я быстро загораю но Юлия медленно загорает.	- ¿Usted se broncea rápido o lento?<br>- Yo me bronceo rápido pero Julia se broncea lento.
Извините, товарищ, здесь не кушают.	Disculpe, camarada, aquí no se come ("no comen")
Они кушают быстро а гуляют медленно.	Ellos comen rápido y pasean despacio.
Знаете, я очень редко гуляю. Мне нужно (по)гулать немножко.	Sabe, yo pocas veces paseo. Necesito dar un paseíto.
Осторожно, там гуляют по-русски!	Cuidado, ¡Ahí se "pasea" al estilo ruso! (festejan como los ruso)
Вы думаете, что вы умираете, но вы не умираете.	Ud. piensa que se muere, pero no se está muriendo.
Это принимать нельзя!	¡No se puede aceptar esto!
Можно примимать это иногда, но не всегда.	Se puede aceptar esto a veces, pero no siempre.
- Нельзя покупать всё.<br>- А я всё-таки покупапю всё.	- No se puede comprar todo.<br>- Pero yo de todas formas compro todo.
Никогда никогда не хенись, мой друг. Вот тебе мой совет.	Nunca nunca te cases, amigo mío. Este es mi consejo para ti.
Я знаю тебя и ты знаешь меня.	Yo te conozco y tú me conoces a mí.
- Что Вы стараетесь демонстрировать?<br>- Я стараюсь демонстрировать только хорошие манеры.	- ¿Qué intenta Ud. mostrar?<br>- Yo intento mostrar solo buenos modales.
- На что Ваш муж имеет ориентацию?<br>- Мой муж имеет ориентацию на позитив.	- ¿Hacia qué está orientado su marido?<br>- Mi marido está orientado hacia lo positivo.
- Кем Вы стараетесь быть?<br>- Я стараюсь быть реалистом.	- ¿Quién intenta Ud. ser?<br>- Yo intento ser un realista.
- Что Ваш муж иногда демонстрирyet?<br>- Он иногда демонстрирует пессимизм.	- ¿Qué muestra a veces su marido?<br>- Él a veces muestra pesimismo.
- Куда Вы ходите с мужем?<br>- Мы с мужем ходим в клув или кафе.<br>- Что Вы там делаете?<br>- Мы там танцуем и пьём коктейли.	- ¿Adónde va Ud. con su marido?<br>- Mi marido y yo vamos al club o al café.<br>- ¿Qué hacen allá?<br>- Allí bailamos y bebemos cocktails.
- О чем нужно забывать вечером?<br>- Вечером нужно забывать о проблемах.	- ¿Qué se debe olvidar por la noche?<br>- Por la noche se deben olvidar los problemas.
- Чем помогает Вам Ваш оптимизм?<br>- Мой оптимизм помогает мне забыть весь негатив повседневной жизин.	- ¿A qué le ayuda su optimismo?<br>- Mi optimismo me ayuda a olvidar todos lo negativo de la vida diaria.
Почему ты утром опaздываeшь?	¿Por qué te retrasas por la mañana?
Познакомьтесь, пожалуйста. Это мой папа. Это моя мама. Это мой брат Максим. А это мои другзья.	Permítanme presentarlos. Este es mi papá. Esta es mi mamá. Este es mi hermano Maxim. Y estos son mis amigos.
- Чей это дом?<br>- Это мой дом.	- ¿De quién es esta casa?<br>- Es mi casa.
- Чья Это книга?<br>- Это моя книга.	- ¿De quién es este libro?<br>- Es mi libro.
- Чьё это письмо?<br>- Это моё письмо.	- ¿De quién es esta carta?<br>- El mi carta.
- Чьи это дети?<br>- Это мои дети.	- ¿De quién son estos niños?<br>- Son mis niños.
- Какая у вас профессия?<br>- Я финансист.	- ¿Cuál es su profesión?<br>- Soy banquero.
- Вы высокая или низкая?<br>- Я среднего роста.	- ¿Ud. es alta o baja?<br>- Soy de altura media.
- Какой у Вас рост?<br>- Мой рост сто шестьдесят девять сантиметров.	- ¿Qué altura tiene?<br>- Mi altura es de 169 centímetros.
- Вы полная или стройная?<br>- У меня стройная фигура.	- ¿Está Ud. gorda o delgada?<br>- Tengo una figura esbelta.
- Чьи Это вещи?<br>- Это наши вещи.	- ¿De quién son estas cosas?<br>- Son nuestras cosas.
- Какой у Вас волосы?<br>-У меня длйнные прямые густые волосы.	- ¿Qué cabellos tiene Ud.?<br>- Tengo cabellos largos, lisos y espesos.
- Какого типа Ваше лицо?<br>- У меня типично европейское лицо.	- ¿De qué tipo es su cara?<br>- Tengo una típica cara europea.
- Какого цбета у Вас глаза?<br>- У меня голубые глаза.	- ¿De qué color son sus ojos?<br>- Tengo ojos azules.
- Какая Вы? Опишите себя.<br>- У меня прямой нос и маленькие уши. У меня длинная шея и тонкая талия.	- ¿Cómo es Ud.? Descríbase.<br>- Tengo la nariz recta y orejas pequeñas. Tengo el cuello largo y una cintura esbelta.
- Вы слабая или сильная?<br>- Я сильная и энергичная.	- ¿Es Ud. débil o fuerte?<br>- Yo soy fuerte y enérgica.
- Почему они опаздывают?<br>- Они опаздывают потому что мама в доме отдыха.	- ¿Por qué se retrasan?<br>- Se retrasan porque mamá está en la casa de reposo.
Скажите, пожалуйста...	Decid/digan, por favor...
- Как Вас оценивают другие?<br>- Мой муж говорит, что я красивая.	- ¿Cómo la describen los demás?<br>- Mi marido dice que soy linda.
- Ваш друг Евгений высокий или нихккий?<br>- Он высокого роста.	- ¿Su amigo Yevgeny es alto o bajo?<br>- Es de estatura alta.
- Какая у него фигура?<br>- Он имеет спортивиую фигуру.	- ¿Qué tipo tiene?<br>- Tiene tipo atlético.
- У Евгения длиниые или коротке волосы?<br>- У него короткие волистые волосы.	- ¿Yevgeny tiene los cabellos largos o cortos?<br>- Tiene cabellos cortos y ondulados.
- Какое у него лицо?<br>- У него типично европейское лицо.	- ¿Qué cara tiene?<br>- Tiene una cara típicamente europea.
- У Вашего друга нос прямой или кривой?<br>- У него прямой нос.	- ¿Su amigo tiene la nariz recta o curva?<br>- Tiene la nariz recta.
- Он дружелюбиый или нелюдимый?<br>- Он дружелюбиый и энергичиый.	- ¿Es amistoso o insociable?<br>- Es amistoso y enérgico.
В мае мы были в Эрмитаже.	En mayo estuvimos en el Ermitage.
В декабре холодно, но нет снега.	Hace frío en diciembre, pero no hay nieve.
Этот журнал на русском языке а тот журнал на английском языке.	Este periódico está en ruso y ese periódico está en inglés.
Приятно читатъ эти/те книги.	Es agradable leer estos/esos libros.
- Вы меня понимаете?<br>- Да, я вас понимаю, если вы говорите мелленно.	- ¿Me entiende Ud.?<br>- Sí, le entiendo, si habla despacio.
- Это очень хорошо, но я не говорю быстро.<br>- Спасибо; вы очень любезны.<br>- Пожалуйста; я всегда рад помочь.	- Eso está muy bien, pero yo no hablo rápido.<br>- Gracias; es Ud. muy amable.<br>- De nada; estoy siempre contento de ayudar.
- Я голоден; где здесъ ресторан?<br>- Я тоже голоден; вот ресторан.	- Tengo hambre; ¿dónde hay un restaurante?<br>- Yo también tengo hambre; aquí hay un restaurante.
- Здравствуйте, Мишелб, как вы поживаете?<br>- Хорошо, спасибо.	- Buenos días, Michel. ¿Cómo está Ud.?<br>- Bien, gracias.
- Где ваш папа?<br>- Избините, я не знаю, где он, но мама дома; может быть, она знает...	- ¿Dónde está su padre de Ud.?<br>- Perdone, no sé dónde está pero mi madre está en casa; puede ser que ella lo sepa...
- Нет, спасибо, я её не знаю, а ваш папа, скоро будет дома?<br>- Кто его знает! Может быть сегодня, может быть завтра!	- No, gracias, no la conozco, y su padre, ¿estará pronto en casa?<br>- ¡Quién sabe! Quizás enseguida, quizás mañana.
- Вы хотите мне что-то сказатъ?<br>- Почему вы так думаете?<br>- Потому что я вас хорошо знаю.<br>	- ¿Quiere Ud. decirme algo?<br>- ¿Por qué piensa eso?<br>- Porque lo conozco bien.
- Что вам нужно?<br>- Вы говорите по-английски?<br>- Я не говорю по-английски, но я читаю и понимаю.	- ¿Qué necesita Ud.?<br>- ¿Habla Ud. inglés?<br>- No hablo inglés, pero lo leo y lo comprendo.
- Вот как раз письмо по-английски, это слово я не понимаю.<br>- Дайте мне письмо, пожалуйста, я вам сейчас скажу.<br>- Скажите мне, пожалуйста.	- Aquí hay justamente una carta en inglés, no comprendo esta palabra.<br>- Deme la carta, por favor, ahora se lo digo.<br>- Dígame, por favor.
- Можно войти?<br>- Да, пожалуйста.	- ¿Se puede entrar?<br>- Sí, adelante.
- Здесь можно курить?<br>- Нет, нельзя. Здесь курить нельзя.	- ¿Se puede fumar aquí?<br>- No, no se puede. Aquí está prohibido fumar.
- Можно у вас спросить?<br>- Да, конечно.	- ¿Puedo preguntarle?<br>- Sí, por supuesto.
- Можно ли так сказать по-русски?<br>- Нет, нельзя.<br>- А почему?<br>- Потому что это ненпавильно.	- ¿Se puede decir así en ruso?<br>- No, no se puede.<br>- ¿Y por qué?<br>- Porque es incorrecto.
- Доктор, можно мне курить?<br>- Нет, нельза!<br>- Как жаль! Я очень хочу курить.<br>- Вам нельза курить. Это вредно.	- Doctor, ¿puedo fumar?<br>- No, es imposible.<br>- ¡Qué lástima! Quiero tanto fumar.<br>- No puede Ud. fumar. Es perjudicial.
- У вас есть брат?<br>- Да, у меня есть брат.	- ¿Tiene Ud. un hermano?<br>- Sí, tengo un hermano.
- Как его зовут?<br>- Его зовут Борис.	- ¿Cómo se llama?<br>- Se llama Boris.
- Что он делает?<br>- Он студент.	- ¿Qué hace?<br>- Es estudiante.
- У вас есть сестра?<br>- Да, есть.	- ¿Tiene Ud. hermana?<br>- Sí, tengo.
- Как её зовут?<br>- Её зовут Нина.	- ¿Cómo se llama?<br>- Se llama Nina.
- Она студентка?<br>- Нет, она работает на фабрике.	- ¿Ella es estudiante?<br>- No, trabaja en la fábrica.
- У вас есть этот журнал?<br>- Да, есть. Вот он.	- ¿Tiene Ud. este periódico?<br>- Sí, lo tengo, aquí está.
- Вы можете мне его дать?<br>- Конечно, могу.	- ¿Puede dármelo?<br>- Desde luego, puedo.
- Я очень хочу курить. У вас есть сигареты?<br>- Вот, пожалуйста.	- Tengo muchas ganas de fumar. ¿Tiene cigarrillos?<br>- Aquí tiene.
- У вас есть спички?<br>- Да, есть.<br>- Спасибо.	- ¿ Tiene fósforos?<br>- Sí.<br>- Gracias.
- У меня дома есть для вас письмо; может быть, вы хотите взать его сейчас?<br>- Нет, спасибо, мне сейчас некогда; но вот к вам идёт мой друг, Иван Иванович.	- Tengo en casa una carta para Ud. ¿Quizás quiera (re)cogerla ahora mismo?<br>- No, gracias, no tengo tiempo ahora; pero resuta que a su casa va mi amigo, Ivan Ivanovitch.
Дайте ему, пожалуйста, это письмо.	Dele esa carta, por favor.
- Хорошо. Кстати, ваш друг играет в футбол?<br>- Да, возмохно. Он очень любит<br>спорт.	- Bien. A propósito, ¿su amigo juega al fútbol?<br>- Sí, es posible. Le gusta mucho el deporte.
Я тоже люблю спорт; но, извините, мне некогда, мне нужнo идти на работу.	A mí también me gusta el deporte; pero disculpe, no tengo tiempo, debo ir al trabajo.
- Вы сегодня работаете?<br>- Да, я сегодня работаю. До свидания.<br>- Всего хорошего.	- ¿Trabaja Ud. hoy?<br>- Sí, trabajo hoy. Hasta la vista.<br>- Buena suerte.
Как вы думаете, Джон понимает по-Русски?	¿Qué creéis, John entiende el ruso?
Лариса думает/говорит, что Джон хорошо понимает по-русски.	Larisa piensa/dice que John comprende bien el ruso.
- О чём рассказывает Лариса?<br>- Она рассказывает о её матери и о её дочери.	- ¿De qué habla Larisa?<br>- Habla de su madre y de su hija.
Николай Иванович завтра идёт в театр. У него естъ билет для меня.	Nikolai Ivánovich va mañana al teatro. Tiene un boleto para mí.
Значит, вы идёте в театр. Что там савтра играют?	Así pues ("quiere decir"), va Ud. al teatro. ¿Qué interpretan ("juegan") allí mañana?
Я ещё не знаю, но Николай Иванович говорит, что там есть очень хороший актёр и роль как раз для него.	No sé todavía, pero Nikolai Ivánovich dice que allí hay un actor muy bueno y el papel es justamente para él.
- А что вы делаете сегодня?<br>- Сегодня меня ждёт сестра; Я у неё оведаю.	- ¿Y qué hace Ud. hoy?<br>- Hoy me espera mi hermana; almuerzo en su casa.
Жаль. Вы, говорют, очень хорошо играете в теннис, и я уже давно хочу сыграть с вами.	Lástima. Ud., dicen, juega bien al tenis y yo ya hace tiempo que quiero jugar con Ud.
- Я тоже, но сегодня, увы, не могу.<br>- Жалъ, конечно, но делать нечего; ладно, в другой раз.	- Yo también, pero hoy, por desgracia, no puedo.<br>- Lástima, desde luego, pero no hay nada que hacer; de acuerdo, para otra vez.
Она очень хочет вас видеть; когда и где вы можете её принять?	Ella tiene muchas ganas de verlo a Ud.; ¿Cuándo y dónde puede recibirla?
Скажите ей, что я сегодня целый день дома, но могу говорить с ней толъко десятъ минут, не вольше; как вы знаете, я сейчас очень занят.	Dígale que hoy estoy todo el día en casa, pero solo puedo hablar con ella 10 minutos, no más; como sabe, ahora estoy muy ocupado.
- Хорошо, я ей скажу; А если она сегодня не может?<br>- Тогда послезавтра.	- Bien, se lo diré; ¿Y si no puede hoy?<br>- Entonces pasado mañana.
